title,date,news,news_link
प्रधानमन्त्री प्रचण्डविरूद्धको रिट न्यायाधीश ईश्वरप्रसाद खतिवडाको इजलासमा,"शुक्रबार, फागुन २६, २०७९"," प्रधानमन्त्री पुष्पकमल दाहाल ‘प्रचण्ड’ विरूद्धको रिटमाथि न्यायाधीश ईश्वरप्रसाद खतिवडाको इजलासमा सुनुवाइ हुने भएको छ।, प्रचण्डविरूद्धको रिटको पेशी न्यायाधीश खतिवडाको इजलासको ११ औं नम्बरमा छ।, हिजो (बिहीबार) हुने भनिएको सुनुवाइ समय अभावका कारण हुन सकेको थिएन।, द्वन्द्वकालीन घटनाका सम्बन्धमा दाहालको अभिव्यक्तिलाई लिएर उनीविरुद्ध मंगलबार अधिवक्ता ज्ञानेन्द्रराज आरणसहित १४ जना र चिरञ्जिवी वास गिरीले दायर गरेका छुट्टाछुट्टै रिट दायर गरेका थिए।, ती रिट सर्वोच्चका न्यायाधीश विश्वम्भरप्रसाद श्रेष्ठको इजलासमा बिहीबार पेसी तोकिएको थियो। तर हेर्न नभ्याइने भन्दै आज (शुक्रबार) का लागि सारिएको हो।, प्रधानमन्त्री पुष्पकमल दाहाल, मन्त्रिपरिषद्‌को कार्यालय, गृह, रक्षा र कानुन मन्त्रालय लगायतलाई विपक्षी बनाइएको रिटमा पुष्पकमल दाहाललाई पक्राउ गरी आवश्यक अनुसन्धानको प्रक्रिया अघि बढाउने अन्तरिम आदेशको माग गरिएको छ।, द्वन्द्वकालीन मुद्दालाई लिएर प्रधानमन्त्री प्रचण्डलाई पक्राउ गरी आवश्यक कारबाही गर्न आदेश माग गर्दै अधिवक्ता आरण र रामेछापका कल्याण बुढाथोकीले कात्तिकमा दिएको रिट सर्वोच्च प्रशासनले बदर गरे पनि गत शुक्रबार न्यायाधीश ईश्वर खतिवडा र हरिकृष्ण फुयालको इजलासले दर्ता गर्न आदेश दिएको थियो।, उक्त इजलासले सुनुवाइ गर्दै दरपिठ गर्ने निर्णय बदर गरी रिट दर्ता गर्न भनेको थियो।, त्यसपछि मंगलबार आरण र गिरीले प्रचण्डविरूद्ध अनुसन्धान गर्न माग गर्दै छुट्टाछुट्टै रिट दर्ता गरेका हुन्।, नेकपा माओवादी केन्द्रका अध्यक्ष समेत रहेका प्रचण्डले २०७६ को माघीको अवसरमा काठमाडौंको खुलामञ्चमा आयोजित कार्यक्रममा आफूलाई १७ हजार मान्छे मारेर आएको भनिए पनि त्यो कुरा सत्य नभएको बताएका थिए। माओवादी सशस्त्र द्वन्द्वका क्रममा १७ हजार मारिएको भनिए पनि त्यो तथ्यांक गलत भएको भन्दै उनले ५ हजारको जिम्मा लिन सक्ने बताएका थिए।]",https://www.setopati.com/politics/296325
तेस्रो कार्यकालका लागि राष्ट्रपति चुनिए सी चिनफिङ,"शुक्रबार, फागुन २६, २०७९"," चिनियाँ संसदले सी चिनफिङलाई तेस्रो कार्यकालका लागि राष्ट्रपति चुनेको छ।, शुक्रबार नेशनल पिपुल्स कंग्रेसले मतदानमार्फत् चिनियाँ कम्युनिष्ट पार्टीका महासचिव चिनफिङलाई तेस्रो कार्यकालका लागि राष्ट्रपति चुनेको समाचार संस्था रोयटर्सले जनाएको छ।, राष्ट्रपतिका लागि चिनफिङ एक्ला उम्मेदवार थिए। संसदका तीन हजार बढी सदस्यले विद्युतीय मतदान गरेका थिए।, मतदान गर्न एक घन्टा लागेको थियो भने गणना सुरू भएको १५ मिनेटमै अन्तिम नतिजा सार्वजनिक भएको थियो।, गणतान्त्रिक चीनमा माओ त्सेतुङ पछि तेस्रो कार्यकाल राष्ट्रप्रमुख बन्ने सी पहिलो व्यक्ति हुन्। यसअघि चिनियाँ संविधानमै दुई कार्यकालभन्दा बढी पार्टीको महासचिव र राष्ट्रपति बन्न नपाइने व्यवस्था गरिएको थियो।, सीले आफ्ना लागि उक्त संवैधानिक व्यवस्था नै हटाएका थिए।, ६९ वर्षीय सी फेरि राष्ट्रपति बन्छन् भन्ने कुरा गत अक्टोबरमा भएको चिनियाँ कम्युनिष्ट पार्टीको अधिवेशनबाट नै टुंगो भएको थियो। त्यतिबेला उनी तेस्रो कार्यकालका लागि महासचिव चुनिएका थिए।, ]",https://www.setopati.com/politics/296323
सर्वोच्चले क्षेत्राधिकार मिचेको भन्दै माओवादी घटकहरूले संघर्ष गर्ने,"शुक्रबार, फागुन २६, २०७९"," द्वन्द्वकालीन मुद्दाहरूलाई नियमित अदालतले टुंगो लगाउन खोजेको भन्दै माओवादी धारका दलहरूले संघर्षका कार्यक्रम ल्याउने निर्णय गरेका छन्।, शुक्रबार प्रधानमन्त्री निवास बालुवाटारमा बसेको माओवादी धारका दलहरूको बैठकले सडक संघर्षमा जाने सम्मको तयारी गर्ने निर्णय गरेको वैज्ञानिक समाजवादी कम्युनिष्ट पार्टीका नेता जागृत रायमाझीले सेतोपाटीलाई बताए।, 'फागुन २८ गते १ बजे संयुक्त रूपमा पत्रकार सम्मेलन गर्ने र ३० गते सर्वोच्च अदालतको पछिल्लागतिविधिबारे अन्तरक्रिया गर्ने निर्णय भएको छ,' रायमाझीले भने,'हामी आवश्यक परेमा सडक संघर्षमा जानुपर्छ भन्नेमा छौं।', नेकपा माओवादी समाजवादीका अध्यक्ष लकर्णजित बुढाथोकीले शान्ति, स्थिरता हुँदै विकासको बाटोमा अगाडि बढेको बेलामा त्यसलाई रोक्ने प्रयास भएको बताए।, 'कुन पार्टीको कुनै नेता सरकारमा छ त्यो फरक कुरा हो। सडक संघर्ष गर्ने पार्टीले हो। जनता र कार्यकर्ता सत्तासँग छैनन्,' उनले भने,'सिंगो माओवादी आन्दोलनका उपलब्धिलाई कमजोर बनाउन सर्वोच्च अदालतले आफ्नो अधिकारभन्दा बाहिर गइरहेको छ। यसकाविरूद्ध हामीले शक्ति प्रदर्शन गर्न जरूरी छ।', अहिले सर्वोच्च अदालतमा माओवादी केन्द्रका अध्यक्ष एवं प्रधानमन्त्रीपुष्पकमल दाहाल ‘प्रचण्ड’ विरूद्ध रिट दर्ता भएको छ।, दश वर्षे माओवादी सशस्त्र द्वन्द्वका क्रममा १७ हजार मानिस मारिएकामध्ये आफूले ५ हजारको जिम्मा लिने भन्दै प्रचण्डले सार्वजनिक अभिव्यक्तिदिएकाले उनलाई पक्राउ गर्नुपर्ने मागसहित रिट परेको हो।, उक्त रिटमाथि आज (शुक्रबार) सुनुवाइ हुँदैछ।, , ]",https://www.setopati.com/politics/296322
अटोरिक्साको कमाइले घर चलाउने हरिनाथ,"शुक्रबार, फागुन २६, २०७९"," धनगढी- ३ का हरिनाथको एउटै चिन्ता छ। बढ्दो महंगीमा कसरी परिवार पाल्नु भन्ने पीरले उनलाई दिनमा चैन र रातमा निद्रा लाग्दैन।, ‘विहान, दिउँसो काम गरेको कमाई साँझ सकिन्छ,उल्टो झन् ऋणलाग्छ बेचैन हुन्छु,’ उनले भने ।, उनका अनुसार केहीसमयअघि सम्म एक सय रुपैँयाको तरकारी दुई छाकलाई पुग्थ्यो, तर मंहगीले पाँच सयको तरकारी किनेपनि दुई छाक भ्याउदैन ।, ‘मंहगीले हामीजस्तालाई धेरै गाह्रो छ, तेल दुई सयको किन्नुपर्छ, चामल त्यस्तै महंगो, सवथोक किनी नसक्नु छ, यसरीनै मंहगी बढे बाँच्न गाह्रो हुन्छ,’ उनले भने ।, हरिको पुर्खाैली घर दार्चुलाको लेकम गाउँपालिका–९ मा हो । उनी जन्मिदा राम्रै थिए, उनी भन्दा अगाडीकी दिदिको प्यारालाइसीसकै कारण मृृत्यु भयो । उनको पनि डेढ वर्षकै उमेरमा प्यारालाइसीस हुँदा एउटा खुट्टा अपांग भएको थियो ।खुट्टाकै कारण उनलाई स्कुलसम्म पुग्न गाह्रो हुन्थ्यो । घरबाट डेढ घण्टा उनी लड्दैपड्दै हिडेर स्कुल पुग्थे ।, ‘पहाडको बाटो हिड्न गाह्रो हुन्थ्यो, साथीहरुको सहयोगमा स्कुल पुग्थे, झोला उनीहरुले नै बोकेर लगीदिन्थे,’ उनले सम्झिए।, परिवारले जेनतेन गर्दै उनलाई कक्षा १० सम्म पढाए । एसएलसी पास गरे । माथिल्लो तहमा पढाई गर्न पैसा थिएन ।घरमा फलाएको अन्नले तीन महिना मात्रै खान पुग्थ्यो। उनको बुवा भारतमा नोकरी गरेर बाँकी महिनाको खानाखर्चको जोहो गर्थे । उमेर बढ्दै गएसँगै उनले पनि कमाउनु पर्ने भयो। उनी २० वर्षका भए, वैवाहिक बन्धनमा बाँधिए । श्रीमती र सन्तान परिवारमा थपिए । उनीमाथि जिम्मेवारी पनि थपियो।, परिवार पाल्न उनले कमाई गर्नुपर्ने भयो। खुट्टाकै कारण अरु जसरी उनले काम गरेर कमाई गर्ने आधार भएन, उनी कामको खोजीमा दार्चुला भरी गए। तर, कहिकतै पनि काम पाएनन्।, ‘तपाईको खुट्टा यस्तो छ, के काम गर्नसक्नुहुन्छ र? तपाई सुहाउदो काम छैन भन्थे,’ उनले भने। उनका दाजु, बुवा भने भारतमा कमाई गर्न जान्थे। उनका गाउँका अरुहरु पनि कमाई गर्न उतै जान्थे।, उनका गाउँका मात्र नभई सुदूरपश्चिमका मान्छे कमाई गर्ने विकल्पका रुपमा भारतलाई मान्छन्। यहाँ पढाईबिचमै छोडेर कमाई गर्नुपर्ने जिम्मेवारी आएका बिपन्न परिवारका बृद्धदेखिकिशोर अवस्थाका मानिसहरु कमाउन भारतकै भरमा पर्छन्। पुर्खाैँदेखी अहिलेसम्म भारतको, भर कमाउन जाने चलनमा कमी आएको छैन। हरिले पनि कमाई गर्न भारत जाने सोच बनाए।, खुट्टा अशक्त भएपनि आफुअनुसार केहीन केहीकाम पाइने आसमा उनी घरबाट हिडें। कमाउने सपना बोकेर भारत पसेका हरिले उल्टो दु:ख पाए। केहीमहिना होटलमा भाडा माझ्ने काम गरे, तर सोचे अनुसार काम भएन । उनी धनगढी फर्किए।, धनगढीमा एक जना साथिले आफ्नो पसल हेरीदिन भने। हरिले साथिले भनेअनुसार उनको पसल हेर्ने, सामान मिलाउने, विक्रि गर्ने काम गर्थे । यी काम गरेबापत् उनलाईखर्चपानी आउँथ्यो ।, उनका कयौँवर्ष यसरी नै चले। हरिले केहिवर्षपछि घरबाट श्रीमती र छोरीहरूलाई पनि धनगढी बोलाए।, केहीसमय उनीहरुलाई हरि कोठा भाडामा राखेर बसाए।, पछि साथिले दिएकै पाँच धुर ऐलानी जमिनमा टिनको छाना र इट्टाको पर्खालले धनगढी–३ मा सानो दुई कोठे घर बनाए। पसलबाट काम गरेको पैसाले जीवन जिउन सहजै भएको थियो।, उनका तीन सन्तान भए, परिवार बढ्दै गएपछि पसलमा कामगरेको पैसाले घरखर्च चलाउन गाह्रो भयो, आफ्नो कारणले साथिलाई पनि असहज हुन थालेको हरिले महसुस गरे। आफैले अरु केहीकाम गर्ने सोचे।, ‘मैले आफूले केही न केहीगर्नु पर्छ सोचेँ, तर के गर्ने सडकमै हिँड्न गाह्रो हुन्थ्यो, साइकल चलाउनै गाह्रो हुन्थ्यो,’ उनले भने।, उनले धनगढीका धेरै ठाउँमा काम खोजे तर, पाएनन्।कामको विकल्पको रुपमा अटो रिक्सा देखे। झण्डै ६ वर्ष अघि धनगढीमा विद्युत चार्जबाट चल्ने अटो रिक्साको चलन आएको थियो । उनले अटो रिक्सा चलाउने आँट गरे।, एक जना मामा नाता पर्नेले अटो रिक्सा खरिद गरेका थिए। उनले उनीसंग अटो मागे। केहि दिन चलाउन सिके। अटो चलाउन सक्ने भएपछि उनी अटो भाडामा माग्न कम्पनी र साहु कहाँ गए।
‘म अटो चलाउँछु, भाडामा दिनुहोस् भनेर माग्दा कसैले पत्याएनन्,’ उनले भने।, धेरै आग्रह गरेपछि उनले एक ठाउँबाट अटो भाडामा पाए ।, पहिलो दिन अटो बजारमा लग्दा उनको मुटु ढुकढुक भएको थियो, दोस्रो दिन अलि कम भयो, तेस्रो दिन झनै कम भयो।, अहिले उनी बिहानै चार बजे उठेर नुहाईधुवाई गरिपाँच बजे अटो घरबाट निकाल्छन्। पाँच बजे सडक खाली हुन्छ हरिलाई अटो निकाल्न सजिलो हुन्छ।, ‘इमान्दार भएर अटो चलाएँ, भाडा पनि समयमै दिएँ, त्यसपछि पत्याए, विश्वास माने, यसले त अटो राम्रै चलाउँछु भाडा पनि समयै दिन्छ सोचेर अरुले पनि भाडामा अटो दिन थाले,’ उनले सुनाए।, हरिले धनगढीमा ६ वर्षदेखिअटो चलाइरहेका छन्। खुट्टाका कारण उनलाई अटो चलाउन धेरै जोखिम छ। धनगढीमा बढ्दो अटोसंख्या, सडक निर्माणाधिन अवस्था रहेका कारण भिडभाड बढी हुन्छ । भिडभाडमा उनलाई अटो चलाउन कठीन हुन्छ। जोखिम भएपनि अहिलेसम्म घटना भने केहि नभएको उनी सुनाउँछन् । खुट्टाकै कारण उनी बेलाबेला टा«फिक प्रहरीको चेकजाँचमा पर्ने गर्छन्।, ‘ट्राफिक प्रहरी तपाई अपांग हो, किन अटो चलाउँनुहुन्छ भन्छन्, तपाईलाई गाह्रो हुन्छ बरु सक्ने अरु काम गर्नुहोस् भन्नुहुन्छ, कहिले समात्छन् पनि, मैले मेरो बाँच्ने आधार यही छ मेरो केहि छैन भन्छु, त्यसपछि छोडिदिन्छन्,’ उनले भने।, उनकी श्रीमती कहिलेकाँहीकाम पाएको समयमा विभिन्न संरचना निर्माणका ठाउँमा इटा बोक्ने ज्यालादारीको काम गर्छिन्। अन्य समयमै छोराछोरीको हेरचाह र घरको काम गरेरै बस्नुपर्छ।, ‘मैले ह्विलचियरमा बसे परिवार भोकै बस्छ, ह्विचियरमा बसेर गर्नसक्ने काम पनि छैन, त्यहि भएर जोखिम मोलेर अटो हाकीरहेको छुँ,’ उनले भने ।, उनलाई अटो चलाउने अनुमतिछैन। जोखीम र नियम विपरीत काम गरिरहेकोले उनलाई अर्काे काम गर्ने मन छ । , ‘हामीलाई चारपांग्रे स्कुटर चलाउन अनुमतिछ, त्यो स्कुटर किन्न सक्ने मेरो हैसियत छैन, यदि त्यस्तो स्कुटर किन्न पाएँ, त्यही स्कुटरको पछाडी फलफूलको क्यारेट बाँधेर बेच्न थाल्थेँ।केटाकेटी पाल्न सक्ने भए केही चाहिन्नथ्यो,’ उनले भने ।, उनले उक्त स्कुटीलाई खरिद गर्न दुई लाख जति पैसा लाग्छ भन्ने सुनेका छन्। स्कुटी खरिद गर्न सहयोगका लागि उनी वडा कार्यालयमा गएका थिए।, ‘वडाबाट सिफारिस मात्रै बनाइदिए, हामीसँग बजेट छैन, बरु कोहीसंघसंस्था, कसैलाई भन्छु सहयोग गर्नुहोस् भनेर भने,’ उनी भन्छन्।, केहीसमय अगाडी धनगढीमा अटो कम थिए। तर, अहिले बजारमा मात्रै १० हजार भन्दा बढी अटो छन्। पहिला दैनिक एक हजार कमाएर पाँच सय ज्याला पाउने उनी अहिले दुई सय मात्रै मुस्किलले बचाउँछन्।, ‘अहिले दैनिक ६ जति कमाइन्छ, त्यसमा पाँच सय अटोको भाडा तिर्नुपर्छ, ब्याट्रीको चार्ज आफैले गरे चार समय मात्रै तिर्नुपर्छ, म चार्ज आफै गर्छु, चार सय तिर्छु, दुईसय बचत हुन्छ,’ उनले भने ।, उनका अनुसार आफु मात्र नभई अन्य अपांगहरुलाई पनि धेरै समस्या भइरहेको छ।, ‘म एक्लो भए त केहि समस्या थिएन म त कुनै मन्दीर धर्मशालामा गएर पनि जीवन विताउँथे, परिवार छन्, त्यसैले केहि न केहि त गरिरहनु पर्याे,’ उनले भने।, राज्यकोतर्फबाट अपांग भएकाहरुलाई लगानी लगाएर केहि काम गर्ने वातावरण मिलाए सहज हुने उनको भनाई छ। उनी 'ख' वर्गको अपांगभित्र पर्दछन्। सरकारको तर्फबाट उनी मासिक १ हजार ६ सय भत्ता पाउँछन्।, ‘भत्ताले छोराछोरीको कापी कलम, ड्रेस किन्छु, यो रकमले मलाई धेरै राहत मिलेको छ,’ उनले भने। अहिले उनले दुई छोरी, एक छोरा, श्रीमती र आफुगरी पाँच जनाको खर्च जुटाउनु पर्छ।, पहाडको घरमा ८० वर्षीय बुवा आमा छन्।, ‘पहाड गएर खाउँ भने झन् गाह्रो छ, कसैको गाईगोरुको हेरालु बसे परिवारको खर्च चल्दैन,’ उनले भने।]",https://www.setopati.com/social/296318
जसले पूरा गरिदिन्छन् गायकहरूका सपना!,"शुक्रबार, फागुन २६, २०७९"," पर्दापछाडिका हिरो, एउटा गीत श्रोतासम्म कसरी पुग्छ? गायकको आवाजमा के के मिसाइन्छ? मिश्रणको काम कसले गर्छ?, हामीले यी र अन्य केही जिज्ञासाहरूमा साउन्ड इञ्जिनियर किशोर थापालाई भेटेका छौं।, उनले धेरै गायकका आवाजमा गीतसंगीतका अन्य अवयवहरू मिश्रणको काम गरेका छन्। मुख्य अवयव हुन् गायकको आवाज र बाजाहरूको धुन।, साउन्ड इञ्जिनियरहरू मिश्रणको यो कामलाई 'अडियो मिक्सिङ' भन्छन्।, सात वर्षअघि आएको नेपाली चलचित्र 'प्रेम गीत' को 'म यस्तो गीत गाउँछु...' बोलको गीत लामै समय चर्चामा रह्यो। यसमा अडियो मिक्सिङको काम उनै किशोरले गरेका थिए।, उनले नेपाली चलचित्रका गीतसँगै सयौंआधुनिक गीत अडियो मिक्सिङ र सम्पादन गरेर श्रुतिमधुर बनाएका छन्।, कुनै गीत श्रोतासम्म कसरी आइपुग्छ?, सबैभन्दा पहिला लेखकले गीत लेख्छन्। शब्दले अन्तिम रूप पाएपछि संगीतकारकहाँ पुग्छ। उनले त्यसका लागि भाका अर्थात लय तयार गर्छन्। संगीतअनुसार गायकले स्टुडियोमा गीत गाउँछन्।यसपछि बाजाको तयारी हुन्छ। गीतमा बाजा बजाउने र धुनको संगीतमिलाउने कामको प्रबन्ध 'म्युजिक एरेन्जर' ले गर्छन्। वाद्यवादकहरूले 'रेकर्डिङ स्टुडियो' मा बसेर बाजा बजाउँछन्।सबै वाद्यवादनको धुन कम्युटरमा रेकर्ड हुन्छ।, , अब सुरू हुन्छ किशोरको खास काम। अडियो मिक्सिङ गर्ने अर्थात् गायकको आवाज र वाद्यवादनको धुन मिश्रण गरेर श्रोताका लागि गीतको अन्तिम रूप तयार गर्ने काम उनको हो।, किशोरका अनुसार अडियो मिक्सिङ गर्नु भनेको खाद्य परिकारमा नुन, मरमसला र अन्य सबै चिज मिलाएर जिभ्रोमै झुन्डिने गरी स्वादिलो बनाउनु जस्तै हो। अडियो मिक्सिङ नै गीतलाई अन्तिम रूप दिने प्रक्रिया हो। यो काम निकै सावधानीपूर्वक गर्नुपर्छ।, गायकको स्वर र बाजाहरूको धुन अनेक पटक सुनेर यी सबैको संयोजन गर्नुपर्छ।, 'गीत र बाजाहरूको धुन बारम्बार सुन्नुपर्छ। हरेक धुन राम्ररी बुझेर गायकको स्वरमा मिलाएर राख्नुपर्छ,'किशोरले भने।, मिक्सिङका क्रममा यसअघि नै आइसकेका गीतका धुनहरू पनि विचार गर्नुपर्छ। अहिले प्रयोग गर्न लागेको धुन कुनै गीतमा आइसकेको छ कि भन्ने कुरा ख्याल राख्न नसके दोहोरिने सम्भावना हुन्छ। दोहोरिन नदिई धुनलाई नयाँपन दिने काम पनि अडियो मिक्सिङकै क्रममा गर्नुपर्छ।, किशोरका अनुसारकहिलेकाहीँ अडियो मिक्सिङका क्रममा संगीतकारले सोचेको भन्दा अलग धुन आउन सक्छ। अलग धुन आउनुको अर्थ संगीत नै बदलिनु होइन, बाजाका धुनहरूको संयोजन फरक पर्नु हो।, 'यसरी काम गर्दागर्दै गीतमा संगीतकारले सोचेको भन्दा फरकपन आउन सक्छ। गीतको लय संगीतकारले दिएअनुसार नै हुन्छ,' उनले भने, 'यसबाट गीतमा नयाँपन आउँछ। संगीतकारलाई पनि चित्त बुझ्ने हुन्छ।', संगीतबद्ध विज्ञापनको काम पनि यसरी नै हुन्छ। किशोर विज्ञानपनमा पनि काम गर्छन्।, एउटा गीतलाई श्रुतिमधुर बनाएर श्रोतासम्म पुर्‍याउन जति मेहनत चाहिन्छ, त्योभन्दा बढी संघर्ष गरेर किशोरले आजसम्मको यात्रा तय गरेका हुन्।किशोरवयमा देखेको सपना बदलिँदै उनी सांगीतिक क्षेत्रमा आइपुगे।, स्कुल पढ्दा उनी गीत–कविता लेख्थे। तैपनि साहित्यतिर जान्छु भन्ने सोचेका थिएनन्। उनलाई अर्थशास्त्र पढ्नमा खुब रूचि थियो। भविष्यमा चार्टर्ड अकाउन्टेन्ट (सिए) बन्ने सपना देखेका थिए।आफ्नो सपनाको बाटो पछ्याउँदै जन्मस्थल गोर्खाबाट राजधानी काठमाडौं आइपुगे। उनका मामा थिए काठमाडौंमा।, मामाले भान्जालाई रेकर्डिङको काममा लगाउने विचार गरे। खा, समा मामा पढाइ खर्च जुटाउन सजिलो होओस् भनेर भान्जालाई थोरै समय काममा लगाउन चाहन्थे।राम्रा कविता लेख्ने भान्जा गीत लेखेर भविष्यमा गीतसंगीत र साहित्यमा लाग्लान् भन्ने पनि मामाको सोचाइ थियो।, त्यो समय मामा अडियो–भिडियोमै काम गर्थे।, मामाको सहयोगमा १६ वर्षको उमेरमा किशोर रेकर्डिङ स्टुडियोमा छिरे। काम सिक्न सुरू गरे।'त्यो बेला काम गर्नु केही खर्च जुटाउनका लागि थियो। गाउँबाट आउनासाथ काम पाउनु मेरा लागि ठूलो अवसर थियो। मामाले भनेअनुसार तुरुन्तै काम सिक्न थालेँ,' उनले भने।, स्टुडियोको काम त खर्च जुटाउन मात्र थियो, सिएबन्ने सपना दायाँबायाँ भएको थिएन। अर्थशास्त्र विषय लिएर ११ र १२ कक्षा पूरा गरे। यतिन्जेलमा उनी स्टुडियोमा अभ्यस्त भइसकेका थिए। काममा रूचि बढेको थियो। यसमै रमाउन थालेका थिए। आखिर सिए बन्ने सपना नै भुले।, 'ममा त सिए बन्ने भूत नै सवार थियो। स्टुडियोमा बस्दाबस्दै कति बेला सपना फेरिएछ, पत्तै भएन,' उनले भने।, , , उनी पढाइका लागि स्नातक तहमा भर्ना भए। स्डुडियोको काममा रूचि अझ गाढा हुँदै गयो। रूचिसँगै कामको समय पनि बढ्दै गयो। कामको दायरा फराकिलो हुँदै गयो। आखिर पढाइमा कम, कामका बढी समय बित्न थाल्यो।, स्टुडियोको काम राम्रो चल्दै थियो। उमेर बढ्दै जाँदा उनको मनमा आत्मसम्मानको भावना पनि गाढा हुँदै गयो। मेहनतअनुसार पारिश्रमिक पनि कम भयो भन्ने निष्कर्षमा पुगे।, 'सानो उमेरको ठानेर हो कि किन, स्टुडियोका मालिक मलाई फुर्सदको मौका पारेर खाजा, चुरोट इत्यादि लिन बाहिर पठाउँथे,' उनले सुनाए।, किशोरलाई यसरी अह्राएको मन पर्न छाड्यो। आफ्नो आत्मसम्मानका चोट पुगेको ठाने। आफूलाई स्टुडियोको काम मात्रै लगाउन आग्रह पनि गरे तर मालिकले वास्ता गरेनन्। आज, भोलि भन्दाभन्दै स्टुडियोमा ९ वर्ष गुजारे।, अन्ततः स्टुडियो छाडेर किशोर गाउँ फर्के। पढाइ पनि छुट्यो। अब के गर्ने? उनको दिमाग रन्थनियो।, सुन्तलाखेती गर्ने विचारले काम सुरू गरे। भएका बोट स्याहारसुसार गरे, केही नयाँ बिरूवा रोपे।, तर एक वर्षमै उनलाई केही संगीतकारहरूले काठमाडौं फर्काए। अर्काकोमा काम गर्दा आफ्नो आत्मसम्मानका ठेस लाग्यो, आफ्नै स्टुडियो खोल्न सके हुन्थ्यो भन्ने सोचे।स्टुडियो खोल्नु सजिलो काम थिएन। लगानीको जोहो गर्नु पर्थ्यो।, किशोरले आफूलाई माया गर्ने संगीतकारहरूसँग मनको कुरा भने। साँच्चै, उनले मद्दत पनि पाए।स्टुडियो बनाउने काम चार महिनामा सकियो। सबै काम जानेकै थिए। 'ए वन म्युजिसियन स्टुडियो' नाम राखेर काम सुरू गरे।, अहिले त आफ्नै स्टुडियोले पनि पन्ध्र वर्ष पूरा गरिसक्यो।, किशोरले काम सिकेको समय आजको जस्तो थिएन। डिजिटल रेकर्डिङ थिएन, रिलको जमाना थियो। टेपमा रेकर्ड गर्नुपर्थ्यो।डिजिटल सुविधाले कामको समय ह्वात्तै घटाइदिएको छ। टेपमा काम गर्दा घन्टा लाग्ने समय डिजिटलमा मिनेटमा झरेको छ।, उनलाई अहिले आफ्नै स्टुडियोमा काम गर्नुको आनन्द अलग्गै छ। आफ्नो समय आफैंव्यवस्थापन गर्न पाइन्छ।, तर गायकको स्वर र वाद्य धुनहरू आपसमा मिश्रण गरेर श्रोतासम्म पुर्‍याउन कति मेहनत पर्छ भन्ने कुरा श्रोतालाई थाहा नहुनु स्वाभाविक हुन्छ। अडियो मिक्सिङ गर्ने किशोरको काम पर्दाभित्रको हो, उनी कतै देखिँदैनन्। न गीत गाउने हुन् न बाजा बजाउने तर यी सबैलाई मिलाउने चाहिँ उनै हुन्।, उनका फ्यान भन्नु उनको काम मन पराउने गीतकार, संगीतकार र गायक नै हुन्।, भन्छन्, 'हामी पर्दा पछाडि बसेर काम गर्ने मान्छेको फ्यान भनेको लाखौं श्रोताहरूले मनपराएका व्यक्तिहरू नै हुन्।', , किशोरको काम गीतकार, संगीतकार र वाद्यवादकको सपना अनि श्रोताको चाहनासँग जोडिन्छ। सबैभन्दा बढी सपना त गायकसँग हुन्छ।यी सबैको ख्याल गरेर काम गर्नु नै उनको ध्येय हुन्छ।, 'गीतमा सबैभन्दा ठूलो सपना गायकको हुन्छ। त्यो सपना पूरा गरिदिनु मेरो काम हो,' उनले भने।, गायक स्वरूपराज आचार्य किशोरका प्रशसंक हुन्। स्वरूपराजका अधिकांश गीतमा किशोरले नै मिक्सिङको काम गरेका छन्।, 'किशोरले मिक्सिङ गरेका गीत बलिउडका भन्दा कम छैनन्। उनी आफैंपनि राम्रो गाउँछन्। गीतमा संवेदनशील छन्,' स्वरूपराजले भने, 'मेरा धेरै गीत हिट हुनुमा उनको मिक्सिङको ठूलो योगदान छ। किशोर एकदमै राम्रो काम गर्नेसाउन्ड इञ्जिनियर हुन्।', अञ्जु पन्त, प्रमोद खरेल लगायत गायकको सुमधुर व्यवहारबाट किशोर निकै प्रभावित छन्।, 'एउटा गीत राम्ररी चल्दा गायकको जीवन नै परिवर्तन हुन्छ। गायकहरू गीत रेकर्डको सपना बोकेर दौडिन्छन्,' किशोरले भने, 'गीतमा गायकको स्वरको जति महत्व हुन्छ त्यति नै हुन्छ अडियो मिक्सिङको।', फिल्मका धेरै गीतमा अडियो मिक्सिङ गरिसकेका किशोरलेसांगीतिक क्षेत्रका केही पुरस्कारपनि पाएका छन्।उनका अनुसार कोभिड–१९ पछि भने फिल्मी गीतको काम ह्वात्तै घटेको छ। परिस्थिति फेरबदल भइरहे पनि आफ्नो लगनशीलता सधैंउस्तै रहने उनी बताउँछन्।, सबै तस्बिरः नवीनबाबु गुरूङ/सेतोपाटी]",https://www.setopati.com/art/art-activity/296302
